Fuel Type Code,Station Name,City,State,ZIP,Groups With Access Code,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,,,,
ELEC,800 FIFTH AVE STATION 2,Seattle,WA,98104,Public,,2,,,,Kennewick,7
ELEC,Campbell's Lake Chelan Resort,Chelan,WA,98816,Public,,1,,,,Kent,14
ELEC,Pine Near RV Park,Winthrop,WA,98862,Public,,1,,,,Kingston,1
ELEC,Omak Inn,Omak,WA,98841,Public,,1,,,,Kirkland,31
ELEC,59er Diner,Leavenworth,WA,98826,Public,,1,,,,La Conner,1
ELEC,Pateros Lakeshore Inn,Pateros,WA,98846,Public,,1,,,,Lacey,13
ELEC,Birkenstock,Ridgefield,WA,98642,Public - Call ahead,,1,,,,Lake Stevens,1
ELEC,PARKMETRO1 PARK METRO #1,Bellevue,WA,98004,Public,,2,,,,Lakewood,9
ELEC,VALLEY MED CTR MAIN LOT #8,Renton,WA,98055,Public,,2,,,,Langley,3
ELEC,OLY CITY HALL L CREIGHTON JC,Olympia,WA,98501,Public,,2,,,,Leavenworth,11
ELEC,Haselwood Chevrolet Buick GMC,Bremerton,WA,98312,Public,,1,,,,Liberty Lake,6
ELEC,Lakeside 24 Hour Fuel,Cougar,WA,98616,Public,,1,,,,Long Beach,2
ELEC,1111 THIRD AVE SENECA GARAGE 1,Seattle,WA,98101,Public,,2,,,,Longview,2
ELEC,AWNISSAN QUICK CHARGER 1,Vancouver,WA,98662,Public,,,1,,,Lopez,2
ELEC,MI SCHOOLS BOYS&GIRLS CLUB,Mercer Island,WA,98040,Public,,2,,,,Lynnwood,25
ELEC,MI SCHOOLS ADMIN BUILDING,Mercer Island,WA,98040,Public,,2,,,,Manson,3
ELEC,SCH CHILDREN'S #2,Seattle,WA,98105,Public,,2,,,,Maple Valley,1
ELEC,Kitsap Transit WA Harborside Parking Garage,Bremerton,WA,98337,Public,,4,,,,Marysville,6
ELEC,BMW TRI-CITIES STATION 01,Richland,WA,99352,Public,,2,,,,Mazama,1
ELEC,Semiahmoo Resort,Blaine,WA,98230,Public,,1,,,,Mead,1
ELEC,Pybus Public Market,Wenatchee,WA,98801,Public,,1,,,,Medical Lake,1
ELEC,UDR ASHTON BELL #2,Bellevue,WA,98004,Public,,2,,,,Mercer Island,16
ELEC,Best Western Plus - Heritage Inn,Bellingham,WA,98226,Public,,1,,,,Moclips,2
ELEC,UDR TEN20 #1,Bellevue,WA,98004,Public,,2,,,,Monroe,3
ELEC,AMLI SLU AMLI SLU #1,Seattle,WA,98109,Public,,2,,,,Moses Lake,5
ELEC,City of Chelan,Chelan,WA,98816,Public,,2,,,,Mossyrock,1
ELEC,LCC LCC H&S #1,Longview,WA,98632,Public,,2,,,,Mount Vernon,7
ELEC,UWMC UWMC #1,Bellevue,WA,98004,Public,,2,,,,Mountlake Terrace,1
ELEC,MI SCHOOLS MERCER HIGH #1,Mercer Island,WA,98040,Public,,2,,,,Mt Vernon,1
ELEC,REO FAST CHARGER,Seattle,WA,98122,Public,,,1,,,Mt. Vernon,3
ELEC,UWMC 4245 UWMC 4245 #1,Seattle,WA,98105,Public,,2,,,,Mukilteo,3
ELEC,UWMC 4225 UWMC 4225 #1,Seattle,WA,98105,Public,,2,,,,Neah Bay,2
ELEC,Esplanade Street Parking,Port Angeles,WA,98362,Public,1,1,,,,Newcastle,1
